 format: day,date,hour,forecast,value  location:97_75 Start : 20250101 
1,2025-01-01,0200,6,0
1,2025-01-01,0200,7,0
1,2025-01-01,0200,8,0
1,2025-01-01,0200,9,0
1,2025-01-01,0200,10,0
1,2025-01-01,0200,11,0
1,2025-01-01,0200,12,0
1,2025-01-01,0200,13,0
1,2025-01-01,0200,14,0
1,2025-01-01,0200,15,0
1,2025-01-01,0200,16,0
1,2025-01-01,0200,17,0
1,2025-01-01,0200,18,0
1,2025-01-01,0200,19,0
1,2025-01-01,0200,20,0
1,2025-01-01,0200,21,0
1,2025-01-01,0200,22,0
1,2025-01-01,0200,23,0
1,2025-01-01,0200,24,0
1,2025-01-01,0200,25,0
1,2025-01-01,0200,26,0
1,2025-01-01,0200,27,0
1,2025-01-01,0200,28,0
1,2025-01-01,0200,29,0
1,2025-01-01,0200,30,0
1,2025-01-01,0200,31,0
1,2025-01-01,0200,32,0
1,2025-01-01,0200,33,0
1,2025-01-01,0200,34,0
1,2025-01-01,0200,35,0
1,2025-01-01,0200,36,0
1,2025-01-01,0200,37,0
1,2025-01-01,0200,38,0
1,2025-01-01,0200,39,0
1,2025-01-01,0200,40,0
1,2025-01-01,0200,41,0
1,2025-01-01,0200,42,0
1,2025-01-01,0200,43,0
1,2025-01-01,0200,44,0
1,2025-01-01,0200,45,0
1,2025-01-01,0200,46,0
1,2025-01-01,0200,47,0
1,2025-01-01,0200,48,0
1,2025-01-01,0200,49,0
1,2025-01-01,0200,50,0
1,2025-01-01,0200,51,0
1,2025-01-01,0200,52,0
1,2025-01-01,0200,53,0
1,2025-01-01,0200,54,0
1,2025-01-01,0200,55,0
1,2025-01-01,0200,56,0
1,2025-01-01,0200,57,0
1,2025-01-01,0200,58,0
1,2025-01-01,0200,59,0
1,2025-01-01,0200,60,0
1,2025-01-01,0200,61,0
1,2025-01-01,0200,64,0
1,2025-01-01,0200,67,0
1,2025-01-01,0200,70,0
1,2025-01-01,0200,73,0
1,2025-01-01,0200,76,0
1,2025-01-01,0200,79,0
1,2025-01-01,0200,82,0
1,2025-01-01,0200,85,0
1,2025-01-01,0500,6,0
1,2025-01-01,0500,7,0
1,2025-01-01,0500,8,0
1,2025-01-01,0500,9,0
1,2025-01-01,0500,10,0
1,2025-01-01,0500,11,0
1,2025-01-01,0500,12,0
1,2025-01-01,0500,13,0
1,2025-01-01,0500,14,0
1,2025-01-01,0500,15,0
1,2025-01-01,0500,16,0
1,2025-01-01,0500,17,0
1,2025-01-01,0500,18,0
1,2025-01-01,0500,19,0
1,2025-01-01,0500,20,0
1,2025-01-01,0500,21,0
1,2025-01-01,0500,22,0
1,2025-01-01,0500,23,0
1,2025-01-01,0500,24,0
1,2025-01-01,0500,25,0
1,2025-01-01,0500,26,0
1,2025-01-01,0500,27,0
1,2025-01-01,0500,28,0
1,2025-01-01,0500,29,0
1,2025-01-01,0500,30,0
1,2025-01-01,0500,31,0
1,2025-01-01,0500,32,0
1,2025-01-01,0500,33,0
1,2025-01-01,0500,34,0
1,2025-01-01,0500,35,0
1,2025-01-01,0500,36,0
