 format: day,hour,forecast,value  location:97_75 Start : 20250101 
 1,1100,+10,75.000000 
 1,1100,+11,75.000000 
 1,1100,+12,65.000000 
 1,1100,+13,55.000000 
 1,1100,+14,45.000000 
 1,1100,+15,35.000000 
 1,1100,+16,25.000000 
 1,1100,+17,20.000000 
 1,1100,+18,20.000000 
 1,1100,+19,15.000000 
 1,1100,+20,15.000000 
 1,1100,+21,20.000000 
 1,1100,+22,25.000000 
 1,1100,+23,25.000000 
 1,1100,+24,30.000000 
 1,1100,+25,30.000000 
 1,1100,+26,35.000000 
 1,1100,+27,35.000000 
 1,1100,+28,35.000000 
 1,1100,+29,35.000000 
 1,1100,+30,30.000000 
 1,1100,+31,30.000000 
 1,1100,+32,35.000000 
 1,1100,+33,35.000000 
 1,1100,+34,40.000000 
 1,1100,+35,40.000000 
 1,1100,+36,40.000000 
 1,1100,+37,35.000000 
 1,1100,+38,30.000000 
 1,1100,+39,25.000000 
 1,1100,+40,20.000000 
 1,1100,+41,15.000000 
 1,1100,+42,15.000000 
 1,1100,+43,15.000000 
 1,1100,+44,15.000000 
 1,1100,+45,20.000000 
 1,1100,+46,25.000000 
 1,1100,+47,35.000000 
 1,1100,+48,40.000000 
 1,1100,+49,40.000000 
 1,1100,+50,45.000000 
 1,1100,+51,50.000000 
 1,1100,+52,50.000000 
 1,1100,+53,55.000000 
 1,1100,+54,55.000000 
 1,1100,+55,60.000000 
 1,1100,+56,60.000000 
 1,1100,+57,60.000000 
 1,1100,+58,60.000000 
 1,1100,+59,60.000000 
 1,1100,+60,55.000000 
 1,1100,+61,45.000000 
 1,1100,+62,35.000000 
 1,1100,+63,35.000000 
 1,1100,+64,30.000000 
 1,1100,+65,30.000000 
 1,1100,+66,35.000000 
 1,1100,+67,35.000000 
 1,1100,+68,35.000000 
 1,1100,+69,40.000000 
 1,1100,+70,45.000000 
 1,1100,+71,50.000000 
 1,1100,+72,55.000000 
 1,1100,+73,55.000000 
 1,1100,+74,60.000000 
 1,1100,+75,60.000000 
 1,1100,+76,60.000000 
 1,1100,+79,60.000000 
 1,1100,+82,60.000000 
 1,1100,+85,55.000000 
 1,1100,+88,45.000000 
 1,1100,+91,50.000000 
 1,1100,+94,75.000000 
 1,1100,+97,80.000000 
