 format: day,hour,forecast,value  location:98_79 Start : 20250101 
 1,0800,+100,3.000000 
 1,0800,+103,2.000000 
 1,1100,+6,-2.000000 
 1,1100,+7,-2.000000 
 1,1100,+8,-2.000000 
 1,1100,+9,-2.000000 
 1,1100,+10,-2.000000 
 1,1100,+11,-2.000000 
 1,1100,+12,-2.000000 
 1,1100,+13,2.000000 
 1,1100,+14,6.000000 
 1,1100,+15,9.000000 
 1,1100,+16,10.000000 
 1,1100,+17,11.000000 
 1,1100,+18,12.000000 
 1,1100,+19,12.000000 
 1,1100,+20,11.000000 
 1,1100,+21,9.000000 
 1,1100,+22,6.000000 
 1,1100,+23,4.000000 
 1,1100,+24,2.000000 
 1,1100,+25,1.000000 
 1,1100,+26,1.000000 
 1,1100,+27,0.000000 
 1,1100,+28,0.000000 
 1,1100,+29,0.000000 
 1,1100,+30,-1.000000 
 1,1100,+31,-1.000000 
 1,1100,+32,-1.000000 
 1,1100,+33,-1.000000 
 1,1100,+34,-1.000000 
 1,1100,+35,-1.000000 
 1,1100,+36,-2.000000 
 1,1100,+37,0.000000 
 1,1100,+38,2.000000 
 1,1100,+39,4.000000 
 1,1100,+40,5.000000 
 1,1100,+41,5.000000 
 1,1100,+42,6.000000 
 1,1100,+43,6.000000 
 1,1100,+44,5.000000 
 1,1100,+45,4.000000 
 1,1100,+46,2.000000 
 1,1100,+47,0.000000 
 1,1100,+48,-1.000000 
 1,1100,+49,-1.000000 
 1,1100,+50,-2.000000 
 1,1100,+51,-3.000000 
 1,1100,+52,-3.000000 
 1,1100,+53,-3.000000 
 1,1100,+54,-3.000000 
 1,1100,+55,-3.000000 
 1,1100,+56,-3.000000 
 1,1100,+57,-3.000000 
 1,1100,+58,-3.000000 
 1,1100,+59,-3.000000 
 1,1100,+60,-4.000000 
 1,1100,+61,-1.000000 
 1,1100,+62,3.000000 
 1,1100,+63,5.000000 
 1,1100,+64,6.000000 
 1,1100,+65,7.000000 
 1,1100,+66,8.000000 
 1,1100,+67,8.000000 
 1,1100,+68,7.000000 
 1,1100,+69,5.000000 
 1,1100,+70,3.000000 
 1,1100,+71,1.000000 
 1,1100,+72,0.000000 
 1,1100,+73,-1.000000 
 1,1100,+74,-2.000000 
 1,1100,+75,-2.000000 
 1,1100,+76,-3.000000 
 1,1100,+79,-4.000000 
 1,1100,+82,-4.000000 
 1,1100,+85,0.000000 
 1,1100,+88,8.000000 
 1,1100,+91,9.000000 
 1,1100,+94,4.000000 
 1,1100,+97,3.000000 
 1,1100,+100,2.000000 
 1,1400,+6,-2.000000 
 1,1400,+7,-2.000000 
 1,1400,+8,-2.000000 
 1,1400,+9,-2.000000 
 1,1400,+10,2.000000 
 1,1400,+11,6.000000 
 1,1400,+12,9.000000 
 1,1400,+13,10.000000 
 1,1400,+14,11.000000 
 1,1400,+15,12.000000 
 1,1400,+16,12.000000 
 1,1400,+17,11.000000 
 1,1400,+18,9.000000 
 1,1400,+19,6.000000 
 1,1400,+20,4.000000 
 1,1400,+21,2.000000 
 1,1400,+22,1.000000 
 1,1400,+23,1.000000 
 1,1400,+24,0.000000 
 1,1400,+25,0.000000 
 1,1400,+26,0.000000 
 1,1400,+27,-1.000000 
 1,1400,+28,-1.000000 
 1,1400,+29,-1.000000 
 1,1400,+30,-1.000000 
 1,1400,+31,-1.000000 
 1,1400,+32,-1.000000 
 1,1400,+33,-2.000000 
 1,1400,+34,0.000000 
 1,1400,+35,2.000000 
 1,1400,+36,4.000000 
 1,1400,+37,5.000000 
 1,1400,+38,5.000000 
 1,1400,+39,6.000000 
 1,1400,+40,6.000000 
 1,1400,+41,5.000000 
 1,1400,+42,4.000000 
 1,1400,+43,2.000000 
 1,1400,+44,0.000000 
 1,1400,+45,-1.000000 
 1,1400,+46,-1.000000 
 1,1400,+47,-2.000000 
 1,1400,+48,-3.000000 
 1,1400,+49,-3.000000 
 1,1400,+50,-3.000000 
 1,1400,+51,-3.000000 
 1,1400,+52,-3.000000 
 1,1400,+53,-3.000000 
 1,1400,+54,-3.000000 
 1,1400,+55,-3.000000 
 1,1400,+56,-3.000000 
 1,1400,+57,-4.000000 
 1,1400,+58,-1.000000 
 1,1400,+59,3.000000 
